ID,Sex,Team,Age,Height,Weight,Medal
1359,M,Sweden,25.0,,,Silver
1364,M,Sweden,31.0,,,Bronze
1378,M,Sweden,23.0,176.0,64.0,Gold
1380,F,United States,22.0,172.0,52.0,Gold
1380,F,United States,22.0,172.0,52.0,Silver
1380,F,United States,22.0,172.0,52.0,Gold
1386,M,Pakistan,20.0,,,Bronze
1389,M,Pakistan,21.0,162.0,62.0,Gold
1391,M,Pakistan,25.0,171.0,67.0,Gold
1400,M,Pakistan,21.0,170.0,62.0,Gold
1402,M,Pakistan,24.0,169.0,75.0,Bronze
1408,M,Pakistan,28.0,170.0,70.0,Gold
1409,M,Pakistan,27.0,173.0,61.0,Gold
1412,M,Pakistan,27.0,150.0,70.0,Gold
1412,M,Pakistan,30.0,150.0,70.0,Silver
1414,M,Pakistan,23.0,175.0,61.0,Bronze
1435,M,Finland,24.0,184.0,66.0,Silver
1435,M,Finland,28.0,184.0,66.0,Silver
1442,M,Mutafo,30.0,169.0,66.0,Silver
1443,F,East Germany,23.0,178.0,85.0,Gold
1444,M,United States,28.0,195.0,97.0,Gold
1447,F,Chile,23.0,176.0,70.0,Silver
1449,M,Germany,16.0,163.0,50.0,Silver
1466,M,Italy,26.0,192.0,102.0,Silver
1466,M,Italy,30.0,192.0,102.0,Bronze
1467,F,Argentina,26.0,165.0,60.0,Silver
1467,F,Argentina,30.0,165.0,60.0,Bronze
1467,F,Argentina,34.0,165.0,60.0,Bronze
1478,F,Italy,27.0,172.0,74.0,Silver
1480,M,Austria,32.0,,107.0,Silver
1481,M,Germany,23.0,183.0,75.0,Bronze
1483,M,Japan,21.0,154.0,53.0,Silver
1483,M,Japan,21.0,154.0,53.0,Silver
1483,M,Japan,25.0,154.0,53.0,Gold
1483,M,Japan,25.0,154.0,53.0,Gold
1485,M,Japan,21.0,156.0,55.0,Bronze
1487,M,Japan,28.0,183.0,85.0,Bronze
1489,M,Australia,23.0,,,Bronze
1498,M,Great Britain,19.0,183.0,90.0,Silver
1498,M,Great Britain,23.0,183.0,90.0,Gold
1498,M,Great Britain,27.0,183.0,90.0,Gold
1498,M,Great Britain,31.0,183.0,90.0,Gold
1498,M,Great Britain,35.0,183.0,90.0,Gold
1500,M,United States,22.0,187.0,84.0,Gold
1503,M,Great Britain,25.0,,,Gold
1512,M,Great Britain,34.0,185.0,85.0,Bronze
1530,M,Canada,27.0,,,Silver
1534,M,Australia,21.0,173.0,65.0,Silver
1534,M,Australia,25.0,173.0,65.0,Bronze
1534,M,Australia,29.0,173.0,65.0,Gold
1538,M,Union des Socits Franais de Sports Athletiques,20.0,,,Gold
1540,M,Ukraine,35.0,177.0,88.0,Gold
1546,F,Greece,17.0,167.0,45.0,Bronze
1551,M,Nigeria,20.0,172.0,79.0,Bronze
1554,M,Cuba,27.0,175.0,93.0,Gold
1554,M,Cuba,31.0,175.0,93.0,Gold
1554,M,Cuba,35.0,175.0,93.0,Silver
1556,M,Nigeria,23.0,185.0,75.0,Silver
1561,M,Canada,20.0,180.0,62.0,Bronze
1564,F,Nigeria,24.0,164.0,57.0,Gold
1569,M,Great Britain,25.0,185.0,81.0,Silver
1569,M,Great Britain,33.0,185.0,81.0,Bronze
1569,M,Great Britain,33.0,185.0,81.0,Bronze
1574,M,Japan,19.0,172.0,74.0,Silver
1574,M,Japan,27.0,172.0,74.0,Bronze
1579,M,Turkey,23.0,,,Gold
1581,M,Japan,24.0,169.0,64.0,Bronze
1595,M,Turkey,,167.0,57.0,Bronze
1595,M,Turkey,,167.0,57.0,Silver
1601,M,Turkey,23.0,168.0,62.0,Silver
1618,M,Sweden,24.0,,,Gold
1618,M,Sweden,28.0,,,Silver
1619,M,Bissbi,20.0,,,Gold
1622,F,United States,30.0,178.0,68.0,Gold
1634,M,Turkey,25.0,192.0,125.0,Gold
1637,F,Soviet Union,18.0,181.0,80.0,Gold
1639,F,Russia,21.0,160.0,55.0,Silver
1639,F,Russia,25.0,160.0,55.0,Bronze
1639,F,Russia,29.0,160.0,55.0,Bronze
1639,F,Russia,29.0,160.0,55.0,Bronze
1639,F,Russia,29.0,160.0,55.0,Gold
1647,M,Uzbekistan,21.0,165.0,56.0,Bronze
1649,M,Russia,28.0,187.0,79.0,Gold
1650,M,Russia,21.0,190.0,120.0,Silver
1652,M,Bulgaria,34.0,184.0,87.0,Silver
1654,F,Soviet Union,23.0,160.0,52.0,Bronze
1659,M,Soviet Union,26.0,180.0,79.0,Bronze
1662,M,Pakistan,25.0,172.0,61.0,Gold
1665,M,Pakistan,23.0,173.0,65.0,Gold
1673,M,Uganda,22.0,188.0,77.0,Gold
1676,M,Soviet Union,24.0,181.0,84.0,Gold
1678,M,Soviet Union,27.0,184.0,80.0,Gold
1682,F,United States,22.0,163.0,61.0,Gold
1683,F,United States,24.0,191.0,79.0,Silver
1683,F,United States,28.0,191.0,79.0,Bronze
1698,M,Russia,19.0,178.0,105.0,Silver
1698,M,Russia,23.0,178.0,105.0,Bronze
1700,F,Russia,25.0,165.0,57.0,Bronze
1713,M,Unified Team,26.0,,109.0,Silver
1716,M,Nigeria,30.0,187.0,80.0,Bronze
1730,F,United States,26.0,183.0,74.0,Bronze
1732,F,Soviet Union,29.0,165.0,58.0,Bronze
1734,M,Soviet Union,21.0,173.0,67.0,Bronze
1734,M,Soviet Union,25.0,173.0,67.0,Gold
1740,M,Russia,26.0,201.0,100.0,Bronze
1742,F,Soviet Union,17.0,174.0,62.0,Bronze
1758,M,Soviet Union,23.0,192.0,88.0,Silver
1762,M,Syria,22.0,187.0,81.0,Bronze
1809,M,Qatar,41.0,178.0,82.0,Bronze
1858,M,Kuwait,33.0,178.0,95.0,Bronze
1858,M,Kuwait,45.0,178.0,95.0,Bronze
1858,M,Individual Olympic Athletes,49.0,178.0,95.0,Gold
1885,M,Saudi Arabia,40.0,162.0,70.0,Bronze
1889,M,Saudi Arabia,31.0,175.0,57.0,Bronze
1949,M,Pakistan,25.0,170.0,63.0,Gold
2025,M,United Arab Emirates,40.0,175.0,67.0,Gold
2112,M,Individual Olympic Athletes,52.0,183.0,83.0,Bronze
2134,M,Saudi Arabia,27.0,178.0,69.0,Bronze
2170,M,Saudi Arabia,23.0,191.0,72.0,Silver
2210,F,Spain,26.0,164.0,55.0,Gold
2212,M,Soviet Union,33.0,176.0,74.0,Silver
2225,M,Soviet Union,23.0,154.0,52.0,Silver
2233,M,Pakistan,26.0,172.0,73.0,Silver
