ID,Sex,Team,NOC,Year,Season,Sport,Medal
39119,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Rugby,Gold
41943,M,"Germania Ruder Club, Hamburg-2",GER,1900,Summer,Rowing,Gold
41944,M,"Germania Ruder Club, Hamburg-2",GER,1900,Summer,Rowing,Gold
41945,M,"Germania Ruder Club, Hamburg-2",GER,1900,Summer,Rowing,Gold
41949,M,Upton Park FC,GBR,1900,Summer,Football,Gold
42370,M,USFSA,FRA,1900,Summer,Football,Silver
42717,M,Brussels Swimming and Water Polo Club,BEL,1900,Summer,Water Polo,Silver
19595,M,Upton Park FC,GBR,1900,Summer,Football,Gold
42795,M,Scotia,GBR,1900,Summer,Sailing,Gold
19115,M,France,FRA,1900,Summer,Shooting,Bronze
19094,M,Cercle de l'Aviron Roubaix-4,FRA,1900,Summer,Rowing,Gold
43310,M,France,FRA,1900,Summer,Archery,Gold
43357,M,Switzerland,SUI,1900,Summer,Shooting,Gold
43650,M,Gitana-2,FRA,1900,Summer,Sailing,Bronze
43650,M,Gitana-2,FRA,1900,Summer,Sailing,Silver
42795,M,Scotia,GBR,1900,Summer,Sailing,Gold
41407,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Rugby,Gold
41407,M,Racing Club de France,FRA,1900,Summer,Tug-Of-War,Silver
41402,M,Hungary,HUN,1900,Summer,Athletics,Bronze
39362,M,Vesper Boat Club,USA,1900,Summer,Rowing,Gold
39416,M,Pupilles de Neptune de Lille #2-1,FRA,1900,Summer,Water Polo,Bronze
